 2 370      LCR      RR       13       R1,R2
 2 370      LCTL     RS       B7       R1,R3,D2(B2)
 2 370      LD       RX       68       R1,D2(X2,B2)
 2 370      LDR      RR       28       R1,R2
 2 370      LE       RX       78       R1,D2(X2,B2)
 2 370      LER      RR       38       R1,R2
 2 370      LH       RX       48       R1,D2(X2,B2)
 2 370      LM       RS       98       R1,R3,D2(B2)
 2 370      LNDR     RR       21       R1,R2
 2 370      LNER     RR       31       R1,R2
 2 370      LNR      RR       11       R1,R2
 2 370      LOCTR    HLASM
 2 370      LPDR     RR       20       R1,R2
 2 370      LPER     RR       30       R1,R2
 2 370      LPR      RR       10       R1,R2
 2 370      LPSW     SI       82       D1(B1)
 2 370      LR       RR       18       R1,R2
 2 370      LRA      RX       B1       R1,D2(X2,B2)
 2 370      LRDR     RR       25       R1,R2
 2 370      LRER     RR       35       R1,R2
 2 370      LTDR     RR       22       R1,R2
 2 370      LTER     RR       32       R1,R2
 2 370      LTORG    HLASM
 2 370      LTR      RR       12       R1,R2
 2 370      M        RX       5C       R1,D2(X2,B2)
 2 370      MACRO    HLASM
 2 370      MC       SI       AF       D1(B1),I2
 2 370      MD       RX       6C       R1,D2(X2,B2)
 2 370      MDE      RX       7C       R1,D2(X2,B2)
 2 370      MDER     RR       3C       R1,R2
 2 370      MDR      RR       2C       R1,R2
 2 370      ME       RX       7C       R1,D2(X2,B2)
 2 370      MEND     HLASM
 2 370      MER      RR       3C       R1,R2
 2 370      MEXIT    HLASM
 2 370      MH       RX       4C       R1,D2(X2,B2)
 2 370      MHELP    HLASM
 2 370      MNOTE    HLASM
 2 370      MP       SS       FC       D1(L1,B1),D2(L2,B2)
 2 370      MR       RR       1C       R1,R2
 2 370      MVC      SS       D2       D1(L,B1),D2(B2)
 2 370      MVCIN    SS       E8       D1(L,B1),D2(B2)
 2 370      MVCK     SS       D9       D1(R1,B1),D2(B2),R3
 2 370      MVCL     RR       0E       R1,R2
 2 370      MVCP     SS       DA       D1(R1,B1),D2(B2),R3
 2 370      MVCS     SS       DB       D1(R1,B1),D2(B2),R3
 2 370      MVI      SI       92       D1(B1),I2
 2 370      MVN      SS       D1       D1(L,B1),D2(B2)
 2 370      MVO      SS       F1       D1(L1,B1),D2(L2,B2)
 2 370      MVZ      SS       D3       D1(L,B1),D2(B2)
 2 370      MXD      RX       67       R1,D2(X2,B2)
 2 370      MXDR     RR       27       R1,R2
 2 370      MXR      RR       26       R1,R2
 2 370      N        RX       54       R1,D2(X2,B2)
 2 370      NC       SS       D4       D1(L,B1),D2(B2)
 2 370      NI       SI       94       D1(B1),I2
 2 370      NOP      RX       470.     D2(X2,B2)
 2 370      NOPR     RR       070.     R2
 2 370      NR       RR       14       R1,R2
 2 370      O        RX       56       R1,D2(X2,B2)
 2 370      OC       SS       D6       D1(L,B1),D2(B2)
 2 370      OI       SI       96       D1(B1),I2
 2 370      OPSYN    HLASM
 2 370      OR       RR       16       R1,R2
 2 370      ORG      HLASM
 2 370      PACK     SS       F2       D1(L1,B1),D2(L2,B2)
 2 370      PC       S        B218     D2(B2)
 2 370      POP      HLASM
 2 370      PRINT    HLASM
 2 370      PT       RRE      B228     R1,R2
 2 370      PTLB     S        B20D
 2 370      PUNCH    HLASM
 2 370      PUSH     HLASM
 2 370      RDD      SI       85       D1(B1),I2
